threshold,precision,recall,f1,fbeta,tn,fp,fn,tp
0.37,0.20454545454545456,0.8181818181818182,0.32727272727272727,0.3272727272727273,25,35,2,9
0.38,0.20454545454545456,0.8181818181818182,0.32727272727272727,0.3272727272727273,25,35,2,9
0.39,0.21428571428571427,0.8181818181818182,0.33962264150943394,0.33962264150943394,27,33,2,9
0.4,0.21951219512195122,0.8181818181818182,0.34615384615384615,0.34615384615384615,28,32,2,9
0.41000000000000003,0.23076923076923078,0.8181818181818182,0.36,0.36000000000000004,30,30,2,9
0.42000000000000004,0.24324324324324326,0.8181818181818182,0.375,0.375,32,28,2,9
0.43,0.24324324324324326,0.8181818181818182,0.375,0.375,32,28,2,9
0.44,0.22857142857142856,0.7272727272727273,0.34782608695652173,0.34782608695652173,33,27,3,8
0.45,0.22857142857142856,0.7272727272727273,0.34782608695652173,0.34782608695652173,33,27,3,8
0.46,0.24242424242424243,0.7272727272727273,0.36363636363636365,0.36363636363636365,35,25,3,8
0.47000000000000003,0.24242424242424243,0.7272727272727273,0.36363636363636365,0.36363636363636365,35,25,3,8
0.48000000000000004,0.23333333333333334,0.6363636363636364,0.34146341463414637,0.34146341463414637,37,23,4,7
0.49,0.2413793103448276,0.6363636363636364,0.35,0.35,38,22,4,7
0.5,0.2692307692307692,0.6363636363636364,0.3783783783783784,0.37837837837837834,41,19,4,7
0.51,0.28,0.6363636363636364,0.3888888888888889,0.3888888888888889,42,18,4,7
0.52,0.30434782608695654,0.6363636363636364,0.4117647058823529,0.411764705882353,44,16,4,7
0.53,0.3181818181818182,0.6363636363636364,0.42424242424242425,0.4242424242424242,45,15,4,7
0.54,0.3,0.5454545454545454,0.3870967741935484,0.3870967741935483,46,14,5,6
0.55,0.3,0.5454545454545454,0.3870967741935484,0.3870967741935483,46,14,5,6
0.56,0.3,0.5454545454545454,0.3870967741935484,0.3870967741935483,46,14,5,6
0.5700000000000001,0.3,0.5454545454545454,0.3870967741935484,0.3870967741935483,46,14,5,6
0.5800000000000001,0.2777777777777778,0.45454545454545453,0.3448275862068966,0.3448275862068966,47,13,6,5
0.59,0.29411764705882354,0.45454545454545453,0.35714285714285715,0.35714285714285715,48,12,6,5
0.6,0.29411764705882354,0.45454545454545453,0.35714285714285715,0.35714285714285715,48,12,6,5
0.61,0.3125,0.45454545454545453,0.37037037037037035,0.3703703703703703,49,11,6,5
0.62,0.3125,0.45454545454545453,0.37037037037037035,0.3703703703703703,49,11,6,5
0.63,0.2857142857142857,0.36363636363636365,0.32,0.32,50,10,7,4
0.64,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.33333333333333337,51,9,7,4
0.65,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.33333333333333337,51,9,7,4
0.66,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.34782608695652173,52,8,7,4
0.67,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.34782608695652173,52,8,7,4
0.68,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.34782608695652173,52,8,7,4
0.6900000000000001,0.3333333333333333,0.36363636363636365,0.34782608695652173,0.34782608695652173,52,8,7,4
0.7000000000000001,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,53,7,7,4
0.7100000000000001,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,53,7,7,4
0.72,0.4,0.36363636363636365,0.38095238095238093,0.380952380952381,54,6,7,4
0.73,0.4444444444444444,0.36363636363636365,0.4,0.39999999999999997,55,5,7,4
0.74,0.4444444444444444,0.36363636363636365,0.4,0.39999999999999997,55,5,7,4
0.75,0.4444444444444444,0.36363636363636365,0.4,0.39999999999999997,55,5,7,4
0.76,0.4444444444444444,0.36363636363636365,0.4,0.39999999999999997,55,5,7,4
0.77,0.4444444444444444,0.36363636363636365,0.4,0.39999999999999997,55,5,7,4
0.78,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.4444444444444444,57,3,7,4
0.79,0.6,0.2727272727272727,0.375,0.37499999999999994,58,2,8,3
0.8,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.28571428571428575,59,1,9,2
0.81,1.0,0.09090909090909091,0.16666666666666666,0.16666666666666669,60,0,10,1
0.8200000000000001,0.0,0.0,0.0,0.0,60,0,11,0
0.8300000000000001,0.0,0.0,0.0,0.0,60,0,11,0
0.8400000000000001,0.0,0.0,0.0,0.0,60,0,11,0
0.85,0.0,0.0,0.0,0.0,60,0,11,0
0.86,0.0,0.0,0.0,0.0,60,0,11,0
0.87,0.0,0.0,0.0,0.0,60,0,11,0
0.88,0.0,0.0,0.0,0.0,60,0,11,0
0.89,0.0,0.0,0.0,0.0,60,0,11,0
0.9,0.0,0.0,0.0,0.0,60,0,11,0
0.91,0.0,0.0,0.0,0.0,60,0,11,0
0.92,0.0,0.0,0.0,0.0,60,0,11,0
0.93,0.0,0.0,0.0,0.0,60,0,11,0
0.9400000000000001,0.0,0.0,0.0,0.0,60,0,11,0
0.9500000000000001,0.0,0.0,0.0,0.0,60,0,11,0
0.9600000000000001,0.0,0.0,0.0,0.0,60,0,11,0
0.97,0.0,0.0,0.0,0.0,60,0,11,0
0.98,0.0,0.0,0.0,0.0,60,0,11,0
0.99,0.0,0.0,0.0,0.0,60,0,11,0
